Epos Code,Description,RRP,COST,WEBSITE,TRADE,ENGINEER,MERCHANT,STAFF,AMAZON,EBAY,Brand,RowStatus
FRANKE-133.0007.840,Franke BBX651 CABLE & KNOB - 133.0007.840,58.64,39.09,55.71,49.84,55.71,44.10,43.00,56.68,56.68,Franke,
FRANKE-133.0007.851,Franke Plug Seal ONLY for Basket Strainer Waste **FOR SINKS BEFORE SEPTEMBER 2008** - 133.0007.851,5.30,3.53,7.47,6.35,7.47,4.99,3.89,7.47,7.47,Franke,
FRANKE-133.0007.855,Franke Plug ONLY for Basket Strainer Waste **FOR SINKS BEFORE SEPTEMBER 2008** - 133.0007.855,20.94,13.96,19.89,17.80,19.89,16.45,15.35,20.24,20.24,Franke,
FRANKE-133.0007.856,Franke Pop Up Plunger - 133.0007.856,17.23,11.48,16.36,14.64,16.36,13.73,12.63,16.65,16.65,Franke,
FRANKE-133.0008.411,Franke Basket Strainer Plug - 133.0008.411,21.05,14.03,20.00,17.89,20.00,16.54,15.44,20.35,20.35,Franke,
FRANKE-133.0014.973,Franke 2 Inch Plug With Handle - 133.0014.973,8.64,5.76,10.47,8.90,10.47,7.43,6.33,10.47,10.47,Franke,
FRANKE-133.0019.427,Franke Basket Strainer Plug ONLY - Chrome (black centre) ** FOR SINKS BEFORE 2000** - 133.0019.427,24.84,16.56,23.60,21.11,23.60,19.31,18.21,24.01,24.01,Franke,
FRANKE-133.0019.442,Franke Basket Strainer Plug - 133.0019.442,25.06,16.71,23.81,21.30,23.81,19.48,18.38,24.23,24.23,Franke,
FRANKE-133.0019.443,Franke Complete Waste Kit - 133.0019.443,28.79,19.19,27.35,24.47,27.35,22.21,21.11,27.83,27.83,Franke,
FRANKE-133.0026.896,Franke Franke Tap Brace - 133.0026.896,23.41,15.61,22.24,19.90,22.24,18.27,17.17,22.63,22.63,Franke,
FRANKE-133.0034.366,Franke Fixing Clips Pack - 133.0034.366,7.65,5.10,9.59,8.15,9.59,6.71,5.61,9.59,9.59,Franke,
FRANKE-133.0036.429,Franke Overflow COMPLETE - 133.0036.429,32.78,21.85,31.14,27.86,31.14,25.14,24.04,31.68,31.68,Franke,
FRANKE-133.0036.506,Franke Hygenic Overflow COMPLETE - 133.0036.506,34.08,22.72,32.37,28.96,32.37,26.09,24.99,32.94,32.94,Franke,
FRANKE-133.0036.515,Franke Overflow COMPLETE - 133.0036.515,25.13,16.75,23.87,21.36,23.87,19.53,18.43,24.29,24.29,Franke,
FRANKE-133.0036.530,Franke Overflow COMPLETE - 133.0036.530,25.13,16.75,23.87,21.36,23.87,19.53,18.43,24.29,24.29,Franke,
FRANKE-133.0040.910,Franke Basket Strainer Top - 133.0040.910,13.73,9.15,13.04,11.67,13.04,11.17,10.07,13.27,13.27,Franke,
FRANKE-133.0040.934,Franke WDU Overflow Connector - 133.0040.934,28.11,18.74,26.71,23.90,26.71,21.72,20.62,27.18,27.18,Franke,
FRANKE-133.0040.945,Franke Overflow COMPLETE ** FOR SINKS BEFORE APRIL 2011** - 133.0040.945,27.38,18.25,26.01,23.27,26.01,21.18,20.08,26.46,26.46,Franke,
FRANKE-133.0040.957,Franke Cable and knob - 133.0040.957,37.96,25.31,36.06,32.27,36.06,28.94,27.84,36.70,36.70,Franke,
FRANKE-133.0042.854,Franke Pop Up Plug - 133.0042.854,19.21,12.81,18.25,16.33,18.25,15.19,14.09,18.57,18.57,Franke,
FRANKE-133.0042.946,Franke Waste Disposer Overflow Diverter - 133.0042.946,20.38,13.58,19.36,17.32,19.36,16.04,14.94,19.70,19.70,Franke,
FRANKE-133.0043.294,Franke Tap Hole Stopper (35mm) - 133.0043.294,11.43,7.62,12.98,11.04,12.98,9.48,8.38,12.98,12.98,Franke,
FRANKE-133.0047.663,Franke Plug (2 inch) and Chain - 133.0047.663,13.14,8.76,12.48,11.17,12.48,10.73,9.63,12.70,12.70,Franke,
FRANKE-133.0047.665,Franke Waste and Overflow Set COMPLETE - 133.0047.665,22.05,14.70,20.95,18.74,20.95,17.27,16.17,21.32,21.32,Franke,
FRANKE-133.0049.668,Franke Pop Up Plug ONLY - 133.0049.668,19.94,13.29,18.94,16.95,18.94,15.72,14.62,19.27,19.27,Franke,
FRANKE-133.0049.669,Franke Semi Integrated Basket Strainer Plug - 133.0049.669,21.05,14.03,20.00,17.89,20.00,16.54,15.44,20.35,20.35,Franke,
FRANKE-133.0050.083,Franke Longer Hygenic Overflow - 133.0050.083,34.08,22.72,32.37,28.96,32.37,26.09,24.99,32.94,32.94,Franke,
FRANKE-133.0051.040,Franke Cartridge Locking Ring - 133.0051.040,7.65,5.10,9.59,8.15,9.59,6.71,5.61,9.59,9.59,Franke,
FRANKE-133.0054.646,Franke Valve : COLD - 133.0054.646,29.58,19.72,28.10,25.14,28.10,22.79,21.69,28.59,28.59,Franke,
FRANKE-133.0054.658,Franke Valve : HOT - 133.0054.658,29.58,19.72,28.10,25.14,28.10,22.79,21.69,28.59,28.59,Franke,
FRANKE-133.0055.650,Franke Overflow Cover Plate - 133.0055.650,10.06,6.71,11.76,9.99,11.76,8.48,7.38,11.76,11.76,Franke,
FRANKE-133.0056.076,Franke Spout - 133.0056.076,94.86,63.24,90.12,80.63,90.12,70.67,69.57,91.70,91.70,Franke,
